match_id,t1_name,t2_name,t1_win,t1_officialwin_before,t2_officialwin_before,t1_pagerank_before,t2_pagerank_before,t1_playerrank_before,t2_playerrank_before
34634,Seoul Dynasty,New York Excelsior,0,7,11,0.08829592982451356,0.0581888827217113,1703.0592214171772,1952.2130899228316
34635,Shanghai Dragons,London Spitfire,1,17,6,0.11916401708674833,0.028956767868803662,2067.1147505672516,1531.786873893042
34641,Paris Eternal,Los Angeles Valiant,1,9,8,0.05393307116149368,0.05810107880826844,1670.7873592743485,1591.0469942326083
34642,New York Excelsior,Guangzhou Charge,0,12,11,0.059979039848138155,0.06590293842500086,1790.6357328299828,1897.5777155648448
34713,Los Angeles Valiant,Los Angeles Gladiators,0,8,7,0.0540717813761431,0.042763600950180836,1588.5722978250135,1548.639502358684
34714,San Francisco Shock,Atlanta Reign,1,14,8,0.08839614027962249,0.02798647987333415,2067.511828740271,1500.324405031956
34715,Paris Eternal,Dallas Fuel,1,10,6,0.08280067029535246,0.0237160020575738,1928.6509076061739,1502.7167001046016
34716,Seoul Dynasty,London Spitfire,1,7,6,0.06432057225643378,0.024421480719013497,1667.7512075838297,1471.3112292837122
34717,Vancouver Titans,Los Angeles Valiant,0,4,8,0.020811753080117845,0.053234821707053626,1298.9473873088743,1619.9335657102492
34718,Los Angeles Gladiators,Atlanta Reign,1,8,8,0.04157284512210531,0.02824146308719332,1571.3721753226387,1501.9723568358627
34719,Toronto Defiant,Dallas Fuel,0,6,6,0.029126533962943544,0.022515945046030123,1423.6152785436761,1509.7701227436564
34720,Washington Justice,San Francisco Shock,0,3,15,0.017177131689543566,0.08850794718900883,1388.9718472799289,2053.5650852190447
34741,Paris Eternal,Dallas Fuel,1,11,7,0.05194986120904638,0.023645507716059735,1915.4836336936844,1496.238706144927
34742,Houston Outlaws,Florida Mayhem,1,6,11,0.029144771936845178,0.04810474023582545,1494.1790981376428,1798.6685674470525
34743,Washington Justice,Los Angeles Gladiators,1,3,9,0.01651544606656779,0.05443741514784681,1320.5470770011118,1541.442402397012
34744,Toronto Defiant,Los Angeles Valiant,1,6,9,0.02358016906896491,0.06094163832019994,1418.7855679131137,1498.3223581092586
34745,Washington Justice,Boston Uprising,1,4,2,0.01528077118831047,0.01834356867817713,1320.5470770011118,1197.3304627468644
34746,Washington Justice,San Francisco Shock,0,5,16,0.0215467317567482,0.07381052243379424,1320.5470770011118,1958.1057129747965
34747,Vancouver Titans,Paris Eternal,0,4,12,0.02379166997251067,0.05217176838936971,1270.0508490628067,1776.806558852384
34748,Philadelphia Fusion,Houston Outlaws,1,15,7,0.05939999281489665,0.034518421532081345,1989.238673689915,1550.1389252010574
34749,Toronto Defiant,Atlanta Reign,1,7,8,0.02854178813970157,0.02821629064666227,1469.2738894124632,1535.1821643787541
34750,San Francisco Shock,Paris Eternal,0,17,13,0.07432549616267636,0.053151491735923415,1958.1057129747967,1782.1650912069135
34751,Philadelphia Fusion,Paris Eternal,0,16,14,0.06496579283378126,0.07208137524024251,2071.427270643841,1801.4769216944433
34752,Toronto Defiant,Philadelphia Fusion,0,8,16,0.031034263243425262,0.05966193593856571,1466.1612866458916,1968.7924232589207
34754,Seoul Dynasty,London Spitfire,1,8,6,0.0829072050918722,0.029818487199482883,1705.385069903393,1572.159050217056
34755,Guangzhou Charge,Chengdu Hunters,1,12,4,0.06909724160156716,0.07174569265764845,1913.24510359953,1419.4448676161414
